Time Offset,CAN_ID,DLC,Payload 
0.005028,0x0200,8,00F8B0C7FBD41BD3
0.009821,0x0200,8,01D0D92155152FEB
0.010374,0x0100,8,7F5AE9DEEE55C239
0.014914,0x0200,8,02FD9F0818B19E0F
0.019245,0x0101,8,EF805846D08F9CB2
0.019612,0x0200,8,030F54E5B9172115
0.01976,0x0100,8,3A676F12DD96DBF7
0.029355,0x0200,8,0576E4EA2E9597EE
0.033929,0x0200,8,06F34177A4860C5F
0.038484,0x0200,8,07A8E9DCA3D81682
0.038692,0x00F0,8,0000000000000000
0.039896,0x0100,8,2CC532AF2520ADCE
0.039959,0x0101,8,F26D053D0A95E607
0.043007,0x0200,8,08E91CD04C0069E3
0.047624,0x0200,8,09A23FFD531E29B4
0.048903,0x0100,8,4A979A473D46383A
0.050231,0x0018,8,0000000000000000
0.057755,0x0200,8,0BA1E9C0ED8FED60
0.058713,0x0100,8,3D06A69C37B568AD
0.05983,0x0101,8,21D90C9B099C3286
0.062438,0x0200,8,0C57B6FDA5FC3E18
0.067546,0x0200,8,0D645C36EA2DBE30
0.069208,0x0100,8,B024CF9FFCB135BB
0.072251,0x0200,8,0E2021ACA9AD10B7
0.077022,0x0200,8,0F766EF0B6891E40
0.078491,0x0100,8,FBD8ED5B8914B744
0.079417,0x0101,8,C29C137653558ADA
0.079635,0x00F0,8,0000000000000000
0.082416,0x0200,8,107CA48BE70CAD00
0.087354,0x0200,8,11E1B78F025B1073
0.0892,0x0100,8,F964718EDDC9FB43
0.092231,0x0200,8,123D6E89BD1CB93C
0.097385,0x0200,8,13F228F2D70F038C
0.097473,0x0300,8,39C2B90E1038A83B
0.099544,0x0101,8,E1C14BC3CBED6E6D
0.099815,0x0100,8,2824EE9B8AC2779B
0.100814,0x0018,8,0000000000000000
0.102382,0x0200,8,1465B17F82FDFE9C
0.107489,0x0200,8,15908DE130DF85BA
0.110449,0x0100,8,D1E58EA861C6B7E6
0.112794,0x0200,8,16969C26D7C653B8
0.118085,0x0200,8,17DD69E5D479BC74
